# Created by Octave 5.2.0, Thu Dec 17 18:28:21 2020 GMT <unknown@BigBang>
# name: C
# type: matrix
# rows: 1000
# columns: 3
 3146 29 2
 2852 29 2
 3320 39 1
 3123 22 2
 3236 31 1
 2728 20 1
 3291 38 7
 3194 23 1
 3199 31 1
 3198 39 1
 2803 29 5
 3160 32 2
 2755 11 3
 2113 10 6
 3041 13 1
 2901 29 2
 3357 40 7
 2947 31 2
 3248 29 2
 2490 4 3
 2200 10 3
 3036 22 2
 3350 32 7
 3116 30 1
 2625 13 2
 2949 12 2
 3235 32 1
 2912 32 5
 2975 29 2
 3146 33 1
 2585 11 2
 3161 23 1
 3154 29 1
 3152 23 2
 3415 38 7
 2929 20 2
 3372 38 7
 3044 33 1
 2399 6 3
 2626 29 2
 2966 32 1
 3407 23 7
 3238 29 1
 2090 5 3
 3017 23 1
 2617 30 2
 2457 10 3
 2296 10 6
 3287 22 1
 2866 30 2
 2761 12 2
 2597 28 2
 3031 30 2
 2988 24 1
 2773 30 2
 3083 30 2
 3251 31 1
 3251 22 1
 2861 30 2
 2489 6 6
 2975 12 2
 3106 29 2
 2125 1 3
 2847 30 2
 3196 19 1
 2510 10 3
 2995 23 1
 3134 18 1
 3242 23 1
 3208 19 1
 3171 29 1
 2707 12 2
 2516 29 2
 3130 23 2
 3133 19 1
 2616 2 3
 2286 2 3
 2763 17 2
 2630 16 2
 2877 23 1
 3051 29 2
 3124 22 1
 3270 24 2
 2876 12 2
 3368 40 1
 2501 10 2
 3247 13 1
 3126 23 2
 3245 22 1
 2805 30 1
 3231 24 1
 3375 33 1
 2504 10 6
 3034 22 1
 2846 24 2
 2825 33 5
 3203 39 7
 2390 10 2
 2990 31 2
 3249 23 2
 2872 23 2
 3244 33 1
 2903 31 2
 3177 29 1
 3212 32 1
 3206 23 1
 3057 29 2
 2928 29 2
 2507 6 3
 2870 33 2
 2841 23 1
 2857 12 2
 2777 29 2
 2924 32 2
 3145 32 2
 2736 13 2
 3031 30 1
 3216 23 1
 2829 24 2
 3179 23 1
 2559 10 6
 3248 38 1
 3332 39 1
 2811 23 1
 3080 20 2
 2706 29 5
 3137 23 1
 2884 31 2
 2514 10 3
 2704 10 6
 2868 12 2
 2721 29 2
 2769 12 2
 2209 10 3
 3163 25 2
 2964 32 2
 2909 32 2
 2774 31 2
 2708 13 2
 2675 10 1
 3001 33 2
 2939 29 2
 2888 29 1
 2251 10 3
 2847 24 5
 3165 32 2
 2144 5 3
 3145 33 1
 2719 4 2
 2939 29 2
 2555 4 6
 3186 29 1
 3159 23 1
 3275 33 2
 3168 32 1
 2876 31 2
 3259 39 1
 2942 29 2
 3379 38 2
 3218 31 1
 3220 29 2
 2912 32 2
 2633 2 6
 2815 12 2
 2868 22 1
 2931 23 2
 2713 30 2
 3207 22 1
 3241 32 2
 3222 40 1
 3173 29 1
 3231 23 1
 3118 22 1
 2934 23 2
 2965 23 2
 3277 32 2
 3049 31 2
 3085 23 1
 2793 10 2
 2488 18 5
 2540 10 3
 3085 31 2
 2988 29 1
 3369 32 1
 3109 29 1
 2840 33 5
 2359 10 6
 3166 24 1
 2498 4 3
 2922 29 2
 3190 23 2
 3353 32 1
 3086 31 1
 2168 10 3
 3184 22 2
 3088 32 2
 2577 11 2
 2972 33 2
 2732 11 2
 2907 33 2
 3045 23 1
 3263 22 1
 3064 29 1
 3123 23 1
 3159 22 2
 2849 29 1
 2866 32 2
 3120 31 1
 2734 31 2
 2762 12 1
 2993 10 2
 3125 19 1
 3272 38 1
 3211 22 1
 2659 29 2
 2901 29 2
 3043 30 1
 3137 33 2
 3412 35 7
 3022 32 2
 3247 24 1
 3032 32 2
 2769 29 2
 2782 10 5
 3138 29 2
 2837 29 1
 3100 29 1
 3215 32 2
 3225 29 1
 2574 10 6
 2771 20 2
 3251 32 2
 2659 10 6
 3352 39 1
 2899 33 2
 3249 31 1
 3364 39 7
 3070 29 1
 3135 29 1
 2759 4 2
 2977 32 2
 2916 23 2
 3211 39 1
 3021 29 2
 2858 31 2
 3090 29 1
 2795 13 2
 2875 24 2
 2510 4 3
 2955 29 2
 2694 12 2
 2236 10 2
 3119 31 1
 2874 29 2
 2304 3 4
 2885 23 2
 2791 12 2
 2644 13 6
 2186 10 4
 2989 31 2
 2050 3 3
 3157 29 7
 3447 40 1
 2760 12 2
 2783 20 2
 3077 23 2
 2991 12 1
 3240 33 2
 3199 29 2
 3064 29 1
 3257 33 1
 3086 33 1
 2601 12 2
 2847 31 2
 2819 23 1
 2929 33 1
 3385 40 7
 2695 10 2
 2836 23 2
 2920 13 2
 3321 23 1
 2554 2 5
 3094 23 1
 3253 38 7
 3123 33 2
 3128 30 1
 3066 22 1
 3023 32 2
 2365 10 2
 2766 23 2
 3207 31 1
 3204 29 1
 2476 4 3
 2400 10 6
 2509 6 3
 3175 30 1
 3201 29 1
 3328 40 7
 3146 29 1
 2736 20 1
 2800 30 2
 2952 33 2
 2766 11 2
 3221 31 1
 2854 32 2
 2841 13 2
 3063 23 2
 3027 32 2
 3339 39 1
 3033 33 1
 3124 32 2
 3089 23 1
 3132 23 1
 2929 23 1
 2845 13 2
 2995 29 1
 3096 22 2
 3154 23 1
 3054 29 1
 3286 32 1
 3067 23 2
 2386 6 3
 2792 33 1
 2728 12 2
 2095 10 6
 3327 38 7
 2938 32 1
 2991 29 2
 2389 4 3
 2916 32 2
 2905 33 1
 2850 11 5
 3228 29 1
 2649 29 2
 2710 13 2
 3040 22 1
 2972 30 2
 2645 23 2
 2682 13 2
 3638 40 1
 2884 24 1
 3228 23 7
 3349 32 7
 3185 23 1
 2650 3 2
 2955 12 2
 3178 32 1
 3014 24 1
 3122 13 2
 2998 20 1
 2912 31 2
 2837 10 2
 2431 6 6
 2689 24 2
 3116 23 1
 2641 2 3
 2814 30 2
 2976 24 1
 2838 12 2
 3007 23 1
 2932 33 2
 2338 10 3
 3026 29 2
 3060 29 1
 2932 29 2
 3123 32 2
 2623 11 2
 3257 33 2
 3090 29 1
 2906 30 2
 2007 10 3
 3091 32 2
 3239 33 1
 3031 33 1
 2677 29 2
 3614 40 7
 3141 22 2
 2826 30 1
 2763 23 2
 3043 29 2
 3477 39 7
 2591 11 2
 2894 23 2
 3137 22 1
 3195 23 1
 2571 4 3
 3257 22 2
 2995 30 2
 3292 22 1
 2959 29 1
 2791 31 2
 3167 23 1
 2944 29 2
 3123 23 1
 3143 29 1
 3333 31 1
 3186 22 1
 2903 32 2
 2701 12 2
 2960 29 1
 3290 32 1
 3120 31 2
 2831 11 2
 2904 30 1
 3230 38 1
 2757 2 3
 3170 30 2
 3268 38 1
 2993 29 2
 3096 23 2
 2564 20 6
 2614 30 2
 2957 33 2
 2990 23 2
 3073 23 1
 3044 30 2
 2815 24 2
 2894 11 2
 3046 22 1
 2853 31 2
 2861 23 2
 2462 4 3
 3134 33 1
 2591 3 2
 2807 4 2
 3138 19 1
 2703 12 2
 3094 23 1
 3147 23 1
 2591 29 2
 2800 11 2
 3040 29 2
 3243 29 2
 2994 29 1
 3355 32 1
 3190 29 1
 2946 26 2
 3128 29 1
 2977 10 2
 2607 10 2
 2504 6 3
 2368 10 3
 3296 32 2
 3123 22 1
 3032 33 2
 3119 22 1
 2924 32 2
 3082 32 2
 3088 31 1
 2076 1 3
 3371 40 7
 2545 30 2
 3166 33 1
 2685 10 2
 2828 20 1
 3044 30 1
 2800 23 1
 3210 29 1
 2906 32 2
 2139 10 3
 3082 20 2
 3013 23 1
 3245 33 1
 2837 31 2
 3102 29 1
 2694 16 2
 2736 10 2
 2492 3 3
 3054 31 2
 2952 33 1
 3123 32 2
 2549 10 6
 3238 22 1
 3173 24 1
 2233 1 3
 2821 12 2
 2821 29 1
 2873 32 2
 3150 29 2
 2616 29 2
 2962 29 2
 3214 39 7
 2971 13 2
 3252 24 1
 2928 31 1
 2591 4 3
 2633 30 2
 2702 30 2
 3033 23 1
 3027 30 2
 3095 31 1
 2975 29 2
 3010 30 2
 3080 22 2
 2737 29 2
 2509 6 2
 2833 23 1
 3413 39 7
 3115 32 1
 2941 33 2
 3004 30 1
 2292 10 6
 3373 38 7
 3267 38 1
 2988 12 2
 2797 4 2
 3280 38 2
 3245 38 7
 2991 30 2
 2786 32 2
 2991 29 2
 2962 30 2
 3150 32 1
 2271 10 3
 2495 10 6
 2916 23 2
 3260 38 1
 3053 23 1
 3380 32 1
 2939 10 2
 3165 24 1
 2949 30 2
 3302 38 2
 3102 31 2
 3370 32 1
 3374 31 1
 3383 32 1
 2965 24 2
 2294 10 3
 3240 32 1
 2963 23 2
 2974 29 2
 3210 23 1
 3041 12 1
 3218 32 1
 3093 29 1
 3227 22 1
 3233 30 1
 3100 29 2
 3224 32 2
 2952 22 1
 2636 33 1
 2418 10 6
 2941 13 1
 3435 35 1
 3216 29 1
 2864 4 2
 3040 33 1
 3180 33 2
 2847 29 2
 2998 29 2
 3037 12 2
 2328 3 4
 2778 12 2
 3152 32 1
 2969 29 1
 3183 23 1
 2602 12 2
 2997 32 1
 3192 32 2
 2883 22 1
 3380 38 7
 3348 39 7
 2340 10 3
 2857 33 1
 2788 20 2
 2972 29 2
 3195 29 1
 3104 23 1
 3165 24 1
 3049 13 2
 2268 10 6
 3047 30 2
 3124 23 2
 2816 13 2
 2968 23 2
 3360 32 1
 3285 38 1
 3198 19 1
 3092 32 2
 3085 23 2
 3239 33 7
 2656 13 2
 3027 31 2
 2709 12 2
 2895 20 2
 3303 38 1
 3181 23 1
 2841 32 2
 2715 33 2
 3120 32 2
 2972 29 2
 3023 32 2
 3306 32 1
 3266 24 1
 2854 20 1
 2800 30 1
 2955 23 2
 2953 32 2
 3141 29 1
 2982 12 2
 3184 25 1
 2767 23 2
 3201 29 1
 3078 23 1
 2939 16 1
 3269 33 2
 2396 10 6
 2763 17 5
 2848 23 2
 3154 29 1
 2811 4 2
 3159 30 2
 2838 4 2
 2487 10 2
 2003 10 3
 3113 32 2
 3149 30 2
 2780 29 2
 3113 29 2
 2395 1 3
 2656 23 2
 2902 30 2
 3176 29 1
 2681 29 2
 2022 1 3
 2333 5 6
 2785 31 2
 3203 32 1
 2831 30 2
 3001 32 2
